Name,Score
Bungou Stray Dogs 3rd Season,0.19937072831127378
"Tokyo Ghoul: ""Jack""",0.19932383469828677
Toaru Kagaku no Railgun,0.1989301129047762
Haikyuu!!: Riku vs. Kuu,0.19807921650445615
Naruto: Shippuuden Movie 6 - Road to Ninja,0.19784788538465797
Nejimaki Seirei Senki: Tenkyou no Alderamin,0.19765938323684312
Dagashi Kashi,0.19749182823036082
One Punch Man: Road to Hero,0.197231209699309
Carole & Tuesday,0.19722100291009204
Shouwa Genroku Rakugo Shinjuu,0.19693903900986448
Psycho-Pass Movie,0.19685724629128828
"Dakara Boku wa, H ga Dekinai.",0.1967388911477723
Irozuku Sekai no Ashita kara,0.1963384031394156
Working!!,0.19619521519955663
Okusama ga Seitokaichou!,0.19580893135965582
Little Witch Academia,0.19565758924182242
Amaama to Inazuma,0.19562762295555344
To LOVE-Ru Darkness,0.1955544672569729
Koyomimonogatari,0.19533177757343934
Kaze ga Tsuyoku Fuiteiru,0.1952393845887299
Kuroshitsuji: Book of Circus,0.19481465206770687
Keijo!!!!!!!!,0.1946652496915175
Seitokai Yakuindomo,0.19463063360882413
Tada-kun wa Koi wo Shinai,0.1942651504270217
Maoyuu Maou Yuusha,0.1940795968339496
Karigurashi no Arrietty,0.1940055267381261
Saijaku Muhai no Bahamut,0.1935241904273637
Boku no Hero Academia the Movie 2: Heroes:Rising,0.19339022610680814
Ao Haru Ride OVA,0.19336438369065856
Ajin 2nd Season,0.19266452892561084
Sora no Otoshimono,0.19262475681373714
Mushishi,0.19215285095923718
Rainbow: Nisha Rokubou no Shichinin,0.19200633690108299
Kiss x Sis,0.1917359870670461
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,0.19170030809321706
Working!!!,0.1912425055256646
Kuroshitsuji II,0.19109093822026543
Imouto sae Ireba Ii.,0.19083502272970268
Great Pretender,0.1902595818592325
Nijiiro Days,0.18983728315781373
High School DxD Hero,0.1897161729632424
Koukaku Kidoutai,0.18959214297115798
Evangelion: 1.0 You Are (Not) Alone,0.18957236396807373
Toaru Kagaku no Railgun S,0.1894897329488419
Death March kara Hajimaru Isekai Kyousoukyoku,0.18920070708751124
Shinmai Maou no Testament Burst,0.18907096131782208
Aoharu x Kikanjuu,0.18893986611297062
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,0.18884937278616254
Vampire Knight,0.18879487714777815
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,0.18873077423860515
B-gata H-kei,0.18863930878893015
Gintama,0.1884066360017
Kishuku Gakkou no Juliet,0.18828959845114318
Satsuriku no Tenshi,0.1882544886700386
Koi wa Ameagari no You ni,0.18775391033637748
Nana,0.1876051827883083
Nisekoi OVA,0.1874951673297856
Madan no Ou to Vanadis,0.18745624632061963
Paprika,0.18739344828600227
Natsume Yuujinchou,0.186820053983818
Shokugeki no Souma: Gou no Sara,0.18678682391965581
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,0.18661721551546617
Evangelion: 2.0 You Can (Not) Advance,0.18630354871122237
Isekai Quartet,0.18623926378393135
Mayoiga,0.1862137838371733
Tales of Zestiria the Cross,0.18555683285209001
Fate/Apocrypha,0.1852561629578971
Gintama°,0.18471135669074468
K: Return of Kings,0.1838228561160698
Pokemon: The Origin,0.18359267716232486
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,0.18342247561782762
Zombieland Saga,0.1832329332701599
Kono Bijutsubu ni wa Mondai ga Aru!,0.18317669047518279
Seiken Tsukai no World Break,0.1831025101679138
Hanasaku Iroha,0.18288764239928093
Itsudatte Bokura no Koi wa 10 cm Datta.,0.18269238868200988
Hitsugi no Chaika,0.18259278759582287
K: Missing Kings,0.18257765530030584
Charlotte: Tsuyoimono-tachi,0.18235965997437054
Yowamushi Pedal,0.18226962107152328
Yagate Kimi ni Naru,0.1822599057740546
Outbreak Company,0.18217063442992562
Hajime no Ippo,0.1819249487629116
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,0.18190589594391632
Mangaka-san to Assistant-san to The Animation,0.1816917228456848
B: The Beginning,0.1815092357196073
Taimadou Gakuen 35 Shiken Shoutai,0.18136914001727686
Glasslip,0.18111885287521995
Little Busters!,0.18104523823545438
Arifureta Shokugyou de Sekai Saikyou,0.18089090797526539
Kore wa Zombie Desu ka? of the Dead,0.18081474783627524
Katanagatari,0.18064763876213186
Beelzebub,0.18061696335113886
Tokyo Magnitude 8.0,0.1805086184962616
Nanatsu no Taizai: Kamigami no Gekirin,0.1804697092483076
Yojouhan Shinwa Taikei,0.18001761012883155
Gin no Saji 2nd Season,0.17969037732869764
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,0.17948105573188983
Diamond no Ace,0.17928913953283082
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,0.17912187615657366
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,0.17902473821611378
Shakugan no Shana,0.17881148050389695
Re:Creators,0.17879325146521652
Working'!!,0.17869814325747446
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,0.17857776532756015
Hal,0.17827723760253444
Evangelion: 3.0 You Can (Not) Redo,0.17811220244640852
Black Lagoon: The Second Barrage,0.17784119670393947
Love Stage!!,0.17775223628394754
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,0.17760825448954398
Jibaku Shounen Hanako-kun,0.17753987487179299
Mahoutsukai no Yome: Hoshi Matsu Hito,0.17662773198340542
Motto To LOVE-Ru,0.17638017590113061
Higurashi no Naku Koro ni Kai,0.17605243056610317
Special A,0.176000603181383
Kara no Kyoukai 1: Fukan Fuukei,0.17585385572125015
Bokutachi wa Benkyou ga Dekinai!,0.17578729846587818
